"Indexcd","Idxtrd01","Idxtrd02"
"000001","2010-01-04","3289.750"
"000001","2010-01-05","3254.470"
"000001","2010-01-06","3277.520"
"000001","2010-01-07","3253.990"
"000001","2010-01-08","3177.260"
"000001","2010-01-11","3301.610"
"000001","2010-01-12","3205.710"
"000001","2010-01-13","3204.980"
"000001","2010-01-14","3183.380"
"000001","2010-01-15","3217.190"
"000001","2010-01-18","3213.640"
"000001","2010-01-19","3242.220"
"000001","2010-01-20","3252.040"
"000001","2010-01-21","3154.190"
"000001","2010-01-22","3118.720"
"000001","2010-01-25","3103.320"
"000001","2010-01-26","3094.850"
"000001","2010-01-27","3020.540"
"000001","2010-01-28","2985.210"
"000001","2010-01-29","2979.740"
"000001","2010-02-01","2981.370"
"000001","2010-02-02","2955.750"
"000001","2010-02-03","2945.030"
"000001","2010-02-04","2983.050"
"000001","2010-02-05","2936.200"
"000001","2010-02-08","2936.450"
"000001","2010-02-09","2932.090"
"000001","2010-02-10","2967.140"
"000001","2010-02-11","2985.080"
"000001","2010-02-12","2996.090"
"000001","2010-02-22","3016.700"
"000001","2010-02-23","2998.910"
"000001","2010-02-24","2964.980"
"000001","2010-02-25","3026.660"
"000001","2010-02-26","3053.500"
"000001","2010-03-01","3057.010"
"000001","2010-03-02","3089.710"
"000001","2010-03-03","3074.100"
"000001","2010-03-04","3098.070"
"000001","2010-03-05","3026.640"
"000001","2010-03-08","3036.420"
"000001","2010-03-09","3053.260"
"000001","2010-03-10","3067.150"
"000001","2010-03-11","3050.640"
"000001","2010-03-12","3051.470"
"000001","2010-03-15","3010.720"
"000001","2010-03-16","2974.490"
"000001","2010-03-17","2999.820"
"000001","2010-03-18","3053.160"
"000001","2010-03-19","3046.750"
"000001","2010-03-22","3069.660"
"000001","2010-03-23","3076.960"
"000001","2010-03-24","3058.930"
"000001","2010-03-25","3051.360"
"000001","2010-03-26","3017.220"
"000001","2010-03-29","3076.050"
"000001","2010-03-30","3123.830"
"000001","2010-03-31","3129.570"
"000001","2010-04-01","3111.940"
"000001","2010-04-02","3154.770"
"000001","2010-04-06","3170.610"
"000001","2010-04-07","3156.310"
"000001","2010-04-08","3143.450"
"000001","2010-04-09","3118.930"
"000001","2010-04-12","3151.890"
"000001","2010-04-13","3129.690"
"000001","2010-04-14","3161.550"
"000001","2010-04-15","3168.140"
"000001","2010-04-16","3159.670"
"000001","2010-04-19","3096.790"
"000001","2010-04-20","2980.080"
"000001","2010-04-21","2984.620"
"000001","2010-04-22","3021.290"
"000001","2010-04-23","2995.570"
"000001","2010-04-26","2988.080"
"000001","2010-04-27","2962.150"
"000001","2010-04-28","2883.170"
"000001","2010-04-29","2912.200"
"000001","2010-04-30","2867.650"
"000001","2010-05-04","2821.350"
"000001","2010-05-05","2804.510"
"000001","2010-05-06","2838.950"
"000001","2010-05-07","2685.990"
"000001","2010-05-10","2690.860"
"000001","2010-05-11","2745.600"
"000001","2010-05-12","2628.020"
"000001","2010-05-13","2653.580"
"000001","2010-05-14","2692.100"
"000001","2010-05-17","2663.880"
"000001","2010-05-18","2555.140"
"000001","2010-05-19","2581.630"
"000001","2010-05-20","2571.540"
"000001","2010-05-21","2492.580"
"000001","2010-05-24","2596.320"
"000001","2010-05-25","2654.360"
"000001","2010-05-26","2620.850"
"000001","2010-05-27","2615.110"
"000001","2010-05-28","2680.400"
"000001","2010-05-31","2647.870"
"000001","2010-06-01","2577.760"
"000001","2010-06-02","2548.540"
"000001","2010-06-03","2575.770"
"000001","2010-06-04","2536.230"
"000001","2010-06-07","2508.330"
"000001","2010-06-08","2510.080"
"000001","2010-06-09","2523.880"
"000001","2010-06-10","2561.550"
"000001","2010-06-11","2574.900"
"000001","2010-06-17","2588.970"
"000001","2010-06-18","2556.600"
"000001","2010-06-21","2517.290"
"000001","2010-06-22","2579.630"
"000001","2010-06-23","2576.340"
"000001","2010-06-24","2563.640"
"000001","2010-06-25","2556.540"
"000001","2010-06-28","2550.650"
"000001","2010-06-29","2534.500"
"000001","2010-06-30","2409.540"
"000001","2010-07-01","2393.950"
"000001","2010-07-02","2371.320"
"000001","2010-07-05","2358.760"
"000001","2010-07-06","2358.280"
"000001","2010-07-07","2407.670"
