"Indexcd","Idxtrd01","Idxtrd08"
"000905","2007-01-15",""
"000905","2007-01-16","3.447200"
"000905","2007-01-17","-0.942600"
"000905","2007-01-18","2.443900"
"000905","2007-01-19","3.560000"
"000905","2007-01-22","4.600300"
"000905","2007-01-23","0.123900"
"000905","2007-01-24","0.968700"
"000905","2007-01-25","-4.793100"
"000905","2007-01-26","0.553300"
"000905","2007-01-29","3.399900"
"000905","2007-01-30","-0.206100"
"000905","2007-01-31","-5.011200"
"000905","2007-02-01","1.050900"
"000905","2007-02-02","-1.769200"
"000905","2007-02-05","1.182400"
"000905","2007-02-06","2.136800"
"000905","2007-02-07","1.806000"
"000905","2007-02-08","1.810100"
"000905","2007-02-09","0.391900"
"000905","2007-02-12","2.347200"
"000905","2007-02-13","1.840600"
"000905","2007-02-14","2.172700"
"000905","2007-02-15","3.138000"
"000905","2007-02-16","1.154700"
"000905","2007-02-26","3.962400"
"000905","2007-02-27","-8.952700"
"000905","2007-02-28","4.487900"
"000905","2007-03-01","-2.149200"
"000905","2007-03-02","1.795900"
"000905","2007-03-05","0.329100"
"000905","2007-03-06","0.162400"
"000905","2007-03-07","2.567600"
"000905","2007-03-08","2.103400"
"000905","2007-03-09","0.120300"
"000905","2007-03-12","2.215700"
"000905","2007-03-13","1.148200"
"000905","2007-03-14","-0.688200"
"000905","2007-03-15","1.925300"
"000905","2007-03-16","-1.810300"
"000905","2007-03-19","1.498400"
"000905","2007-03-20","2.152700"
"000905","2007-03-21","1.718400"
"000905","2007-03-22","0.074900"
"000905","2007-03-23","1.287900"
"000905","2007-03-26","3.141800"
"000905","2007-03-27","1.688800"
"000905","2007-03-28","-1.159100"
"000905","2007-03-29","-3.645400"
"000905","2007-03-30","1.080600"
"000905","2007-04-02","2.309200"
"000905","2007-04-03","1.631100"
"000905","2007-04-04","1.197700"
"000905","2007-04-05","1.761700"
"000905","2007-04-06","1.585000"
"000905","2007-04-09","1.806600"
"000905","2007-04-10","0.655200"
"000905","2007-04-11","1.477200"
"000905","2007-04-12","2.347600"
"000905","2007-04-13","-0.849600"
"000905","2007-04-16","2.960700"
"000905","2007-04-17","2.896100"
"000905","2007-04-18","2.571200"
"000905","2007-04-19","-5.861600"
"000905","2007-04-20","5.198500"
"000905","2007-04-23","4.644500"
"000905","2007-04-24","1.035400"
"000905","2007-04-25","-0.428400"
"000905","2007-04-26","1.267300"
"000905","2007-04-27","-0.193600"
"000905","2007-04-30","1.505000"
"000905","2007-05-08","4.801600"
"000905","2007-05-09","0.195500"
"000905","2007-05-10","0.706200"
"000905","2007-05-11","-0.452500"
"000905","2007-05-14","0.594500"
"000905","2007-05-15","-3.266900"
"000905","2007-05-16","2.984900"
"000905","2007-05-17","2.519800"
"000905","2007-05-18","0.314500"
"000905","2007-05-21","3.045200"
"000905","2007-05-22","2.191700"
"000905","2007-05-23","2.746800"
"000905","2007-05-24","-0.231300"
"000905","2007-05-25","1.709400"
"000905","2007-05-28","2.405200"
"000905","2007-05-29","1.930800"
"000905","2007-05-30","-8.186800"
"000905","2007-05-31","-4.230000"
"000905","2007-06-01","-7.201400"
"000905","2007-06-04","-8.629100"
"000905","2007-06-05","1.139900"
"000905","2007-06-06","2.103600"
"000905","2007-06-07","5.347700"
"000905","2007-06-08","1.679000"
"000905","2007-06-11","2.540200"
"000905","2007-06-12","2.774700"
"000905","2007-06-13","3.652800"
"000905","2007-06-14","-1.384800"
"000905","2007-06-15","0.105500"
"000905","2007-06-18","2.841600"
"000905","2007-06-19","2.023800"
"000905","2007-06-20","-2.932400"
"000905","2007-06-21","-0.494300"
"000905","2007-06-22","-5.744000"
"000905","2007-06-25","-6.579300"
"000905","2007-06-26","1.992800"
"000905","2007-06-27","2.382700"
"000905","2007-06-28","-6.571600"
"000905","2007-06-29","-4.590000"
"000905","2007-07-02","1.653900"
"000905","2007-07-03","1.644000"
"000905","2007-07-04","-2.218500"
"000905","2007-07-05","-6.689800"
"000905","2007-07-06","6.248200"
"000905","2007-07-09","3.350500"
"000905","2007-07-10","-2.842900"
"000905","2007-07-11","1.306600"
"000905","2007-07-12","0.489100"
"000905","2007-07-13","-0.417600"
"000905","2007-07-16","-3.386100"
"000905","2007-07-17","2.217400"
"000905","2007-07-18","0.386700"
"000905","2007-07-19","0.439800"
"000905","2007-07-20","4.078300"
"000905","2007-07-23","5.174500"
"000905","2007-07-24","0.206500"
"000905","2007-07-25","2.850200"
"000905","2007-07-26","2.046600"
"000905","2007-07-27","1.882400"
"000905","2007-07-30","1.951400"
"000905","2007-07-31","1.159900"
"000905","2007-08-01","-5.505500"
"000905","2007-08-02","4.221700"
"000905","2007-08-03","1.642700"
"000905","2007-08-06","2.184400"
"000905","2007-08-07","-0.759300"
"000905","2007-08-08","-1.671300"
"000905","2007-08-09","1.060900"
"000905","2007-08-10","-2.099300"
"000905","2007-08-13","-0.437800"
"000905","2007-08-14","2.458300"
"000905","2007-08-15","-0.527700"
"000905","2007-08-16","0.592800"
"000905","2007-08-17","-1.083100"
"000905","2007-08-20","4.092300"
"000905","2007-08-21","1.197000"
"000905","2007-08-22","1.292500"
"000905","2007-08-23","1.041200"
"000905","2007-08-24","0.192400"
"000905","2007-08-27","-0.388200"
"000905","2007-08-28","0.111100"
"000905","2007-08-29","-0.599400"
"000905","2007-08-30","3.026100"
"000905","2007-08-31","1.113400"
"000905","2007-09-03","2.270300"
"000905","2007-09-04","-0.565000"
"000905","2007-09-05","0.606400"
"000905","2007-09-06","1.093500"
"000905","2007-09-07","-2.493100"
"000905","2007-09-10","2.018700"
"000905","2007-09-11","-6.363000"
"000905","2007-09-12","1.111800"
"000905","2007-09-13","2.135700"
"000905","2007-09-14","1.314100"
"000905","2007-09-17","2.246600"
"000905","2007-09-18","0.963600"
"000905","2007-09-19","-1.317400"
"000905","2007-09-20","0.993800"
"000905","2007-09-21","-0.989200"
"000905","2007-09-24","0.514800"
"000905","2007-09-25","-0.824400"
"000905","2007-09-26","-1.606600"
"000905","2007-09-27","0.815000"
"000905","2007-09-28","2.230800"
"000905","2007-10-08","0.097400"
"000905","2007-10-09","1.047200"
"000905","2007-10-10","-0.637700"
"000905","2007-10-11","-2.027800"
"000905","2007-10-12","-2.279700"
"000905","2007-10-15","-0.016200"
"000905","2007-10-16","1.082900"
"000905","2007-10-17","-0.283600"
"000905","2007-10-18","-2.334500"
"000905","2007-10-19","-0.010600"
"000905","2007-10-22","-2.610300"
"000905","2007-10-23","0.009200"
"000905","2007-10-24","-1.963900"
"000905","2007-10-25","-7.508500"
"000905","2007-10-26","-0.530400"
"000905","2007-10-29","1.415000"
"000905","2007-10-30","2.320900"
"000905","2007-10-31","3.688200"
"000905","2007-11-01","-2.617000"
"000905","2007-11-02","-2.290000"
"000905","2007-11-05","0.744600"
"000905","2007-11-06","0.759800"
"000905","2007-11-07","-0.208200"
"000905","2007-11-08","-4.108900"
"000905","2007-11-09","-1.246200"
"000905","2007-11-12","-1.316600"
"000905","2007-11-13","0.389200"
"000905","2007-11-14","3.633200"
"000905","2007-11-15","-1.250000"
"000905","2007-11-16","0.155100"
