"Indexcd","Idxtrd01","Idxtrd08"
"000905","2011-04-06","-0.142900"
"000905","2011-04-07","0.630900"
"000905","2011-04-08","1.160200"
"000905","2011-04-11","-0.809100"
"000905","2011-04-12","0.143300"
"000905","2011-04-13","0.992300"
"000905","2011-04-14","-0.277600"
"000905","2011-04-15","0.224200"
"000905","2011-04-18","0.319000"
"000905","2011-04-19","-1.211600"
"000905","2011-04-20","0.708700"
"000905","2011-04-21","0.693100"
"000905","2011-04-22","-0.443100"
"000905","2011-04-25","-2.136400"
"000905","2011-04-26","-1.665800"
"000905","2011-04-27","-1.148200"
"000905","2011-04-28","-3.217300"
"000905","2011-04-29","1.712800"
"000905","2011-05-03","1.730500"
"000905","2011-05-04","-2.150000"
"000905","2011-05-05","0.258200"
"000905","2011-05-06","0.471500"
"000905","2011-05-09","0.823700"
"000905","2011-05-10","0.587900"
"000905","2011-05-11","0.220000"
"000905","2011-05-12","-1.332600"
"000905","2011-05-13","0.796900"
"000905","2011-05-16","-0.037700"
"000905","2011-05-17","-0.546000"
"000905","2011-05-18","0.661500"
"000905","2011-05-19","-0.536100"
"000905","2011-05-20","-0.342200"
"000905","2011-05-23","-3.776500"
"000905","2011-05-24","-0.159200"
"000905","2011-05-25","-1.141500"
"000905","2011-05-26","-0.991800"
"000905","2011-05-27","-3.150100"
"000905","2011-05-30","-1.893000"
"000905","2011-05-31","2.283700"
"000905","2011-06-01","1.048800"
"000905","2011-06-02","-1.355900"
"000905","2011-06-03","1.720100"
"000905","2011-06-07","0.912100"
"000905","2011-06-08","0.344600"
"000905","2011-06-09","-2.328300"
"000905","2011-06-10","0.276400"
"000905","2011-06-13","-0.005800"
"000905","2011-06-14","1.614500"
"000905","2011-06-15","-0.908400"
"000905","2011-06-16","-2.167900"
"000905","2011-06-17","-1.471300"
"000905","2011-06-20","-1.351500"
"000905","2011-06-21","1.394600"
"000905","2011-06-22","-0.396500"
"000905","2011-06-23","1.891100"
"000905","2011-06-24","2.412900"
"000905","2011-06-27","1.308700"
"000905","2011-06-28","0.137700"
"000905","2011-06-29","-1.375700"
"000905","2011-06-30","1.502400"
"000905","2011-07-01","0.555100"
"000905","2011-07-04","2.489600"
"000905","2011-07-05","0.636300"
"000905","2011-07-06","0.242100"
"000905","2011-07-07","0.011100"
"000905","2011-07-08","-0.101600"
"000905","2011-07-11","0.900000"
"000905","2011-07-12","-1.423100"
"000905","2011-07-13","1.993200"
"000905","2011-07-14","0.844500"
"000905","2011-07-15","0.613800"
"000905","2011-07-18","-0.015900"
"000905","2011-07-19","-1.053100"
"000905","2011-07-20","0.110500"
"000905","2011-07-21","-1.333700"
"000905","2011-07-22","0.345900"
"000905","2011-07-25","-3.899400"
"000905","2011-07-26","0.425700"
"000905","2011-07-27","1.662100"
"000905","2011-07-28","-0.625900"
"000905","2011-07-29","-1.123300"
"000905","2011-08-01","0.348700"
"000905","2011-08-02","-0.725200"
"000905","2011-08-03","0.312100"
"000905","2011-08-04","0.524500"
"000905","2011-08-05","-1.944500"
"000905","2011-08-08","-5.006600"
"000905","2011-08-09","-0.315400"
"000905","2011-08-10","1.426600"
"000905","2011-08-11","1.728600"
"000905","2011-08-12","1.156200"
"000905","2011-08-15","1.461000"
"000905","2011-08-16","-0.839900"
"000905","2011-08-17","-0.437400"
"000905","2011-08-18","-1.714600"
"000905","2011-08-19","-0.926000"
"000905","2011-08-22","-0.706700"
"000905","2011-08-23","1.626000"
"000905","2011-08-24","-0.156500"
"000905","2011-08-25","2.082000"
"000905","2011-08-26","0.226800"
"000905","2011-08-29","-0.888700"
"000905","2011-08-30","-0.855900"
"000905","2011-08-31","-0.476000"
"000905","2011-09-01","-0.800600"
"000905","2011-09-02","-1.139700"
"000905","2011-09-05","-2.460500"
"000905","2011-09-06","-0.782400"
"000905","2011-09-07","2.412700"
"000905","2011-09-08","-1.072800"
"000905","2011-09-09","-0.619900"
"000905","2011-09-13","-1.640600"
"000905","2011-09-14","1.148800"
"000905","2011-09-15","0.080000"
"000905","2011-09-16","-0.016100"
"000905","2011-09-19","-1.967600"
"000905","2011-09-20","0.483100"
"000905","2011-09-21","2.968300"
"000905","2011-09-22","-2.883900"
"000905","2011-09-23","-0.820400"
"000905","2011-09-26","-1.610300"
"000905","2011-09-27","0.414700"
"000905","2011-09-28","-1.682500"
"000905","2011-09-29","-3.218200"
"000905","2011-09-30","-0.367600"
"000905","2011-10-10","-0.628800"
"000905","2011-10-11","-0.382200"
"000905","2011-10-12","3.476500"
"000905","2011-10-13","1.295700"
"000905","2011-10-14","-0.416300"
"000905","2011-10-17","0.299400"
"000905","2011-10-18","-3.004700"
"000905","2011-10-19","-0.589400"
"000905","2011-10-20","-2.950100"
"000905","2011-10-21","-1.838500"
"000905","2011-10-24","1.772200"
"000905","2011-10-25","2.842300"
"000905","2011-10-26","1.077500"
"000905","2011-10-27","0.118400"
"000905","2011-10-28","2.309300"
"000905","2011-10-31","0.516700"
"000905","2011-11-01","0.011800"
"000905","2011-11-02","1.823800"
"000905","2011-11-03","0.609900"
"000905","2011-11-04","0.817800"
"000905","2011-11-07","-0.396000"
"000905","2011-11-08","-1.390400"
"000905","2011-11-09","1.686700"
"000905","2011-11-10","-1.493700"
"000905","2011-11-11","-0.054900"
