"Indexcd","Idxtrd01","Idxtrd08"
"000300","2006-04-03","1.718000"
"000300","2006-04-04","0.931100"
"000300","2006-04-05","0.973000"
"000300","2006-04-06","0.297300"
"000300","2006-04-07","-0.008200"
"000300","2006-04-10","1.338000"
"000300","2006-04-11","0.483000"
"000300","2006-04-12","-0.555500"
"000300","2006-04-13","-2.071500"
"000300","2006-04-14","2.256100"
"000300","2006-04-17","0.518500"
"000300","2006-04-18","0.611000"
"000300","2006-04-19","0.615200"
"000300","2006-04-20","-0.339100"
"000300","2006-04-21","1.302900"
"000300","2006-04-24","-0.562100"
"000300","2006-04-25","-0.067400"
"000300","2006-04-26","1.208500"
"000300","2006-04-27","-0.039800"
"000300","2006-04-28","1.478400"
"000300","2006-05-08","3.932300"
"000300","2006-05-09","2.721500"
"000300","2006-05-10","1.144100"
"000300","2006-05-11","-0.860200"
"000300","2006-05-12","3.284400"
"000300","2006-05-15","4.312400"
"000300","2006-05-16","-1.555300"
"000300","2006-05-17","0.329800"
"000300","2006-05-18","-0.323500"
"000300","2006-05-19","2.621700"
"000300","2006-05-22","0.554100"
"000300","2006-05-23","-4.078100"
"000300","2006-05-24","-0.714200"
"000300","2006-05-25","-0.041300"
"000300","2006-05-26","1.783300"
"000300","2006-05-29","2.649800"
"000300","2006-05-30","0.912700"
"000300","2006-05-31","-0.965400"
"000300","2006-06-01","2.741200"
"000300","2006-06-02","-0.909600"
"000300","2006-06-05","0.938000"
"000300","2006-06-06","-0.286500"
"000300","2006-06-07","-5.639900"
"000300","2006-06-08","0.435500"
"000300","2006-06-09","-2.397500"
"000300","2006-06-12","0.268900"
"000300","2006-06-13","0.047000"
"000300","2006-06-14","-1.109200"
"000300","2006-06-15","0.117600"
"000300","2006-06-16","2.537800"
"000300","2006-06-19","1.280700"
"000300","2006-06-20","0.249500"
"000300","2006-06-21","-0.350500"
"000300","2006-06-22","-0.148500"
"000300","2006-06-23","0.593300"
"000300","2006-06-26","1.788800"
"000300","2006-06-27","0.035900"
"000300","2006-06-28","-0.074100"
"000300","2006-06-29","2.364800"
"000300","2006-06-30","-0.083100"
"000300","2006-07-03","1.891700"
"000300","2006-07-04","-0.656200"
"000300","2006-07-05","-1.275700"
"000300","2006-07-06","1.842800"
"000300","2006-07-07","-0.581500"
"000300","2006-07-10","0.119800"
"000300","2006-07-11","0.457500"
"000300","2006-07-12","0.043700"
"000300","2006-07-13","-5.151500"
"000300","2006-07-14","0.820200"
"000300","2006-07-17","1.114100"
"000300","2006-07-18","0.085300"
"000300","2006-07-19","-2.678000"
"000300","2006-07-20","0.639700"
"000300","2006-07-21","0.805800"
"000300","2006-07-24","0.154100"
"000300","2006-07-25","1.181800"
"000300","2006-07-26","-0.208900"
"000300","2006-07-27","-1.148500"
"000300","2006-07-28","-1.044600"
"000300","2006-07-31","-3.508300"
"000300","2006-08-01","-0.948000"
"000300","2006-08-02","-0.543700"
"000300","2006-08-03","-0.262700"
"000300","2006-08-04","-2.345600"
"000300","2006-08-07","-1.434100"
"000300","2006-08-08","2.311100"
"000300","2006-08-09","-0.087000"
"000300","2006-08-10","1.611900"
"000300","2006-08-11","0.328800"
"000300","2006-08-14","-2.346300"
"000300","2006-08-15","1.616700"
"000300","2006-08-16","1.399000"
"000300","2006-08-17","-0.930200"
"000300","2006-08-18","-0.295700"
"000300","2006-08-21","0.212200"
"000300","2006-08-22","1.157800"
"000300","2006-08-23","0.031900"
"000300","2006-08-24","0.522700"
"000300","2006-08-25","0.235200"
"000300","2006-08-28","2.350600"
"000300","2006-08-29","0.322000"
"000300","2006-08-30","0.339100"
"000300","2006-08-31","0.301200"
"000300","2006-09-01","-1.538100"
"000300","2006-09-04","1.452100"
"000300","2006-09-05","0.257200"
"000300","2006-09-06","0.424400"
"000300","2006-09-07","-1.336200"
"000300","2006-09-08","0.283800"
"000300","2006-09-11","0.496200"
"000300","2006-09-12","0.663300"
"000300","2006-09-13","-0.686400"
"000300","2006-09-14","-0.008200"
"000300","2006-09-15","1.796300"
"000300","2006-09-18","0.971900"
"000300","2006-09-19","0.199900"
"000300","2006-09-20","0.010900"
"000300","2006-09-21","0.646400"
"000300","2006-09-22","-0.902400"
"000300","2006-09-25","-0.178200"
"000300","2006-09-26","-1.074800"
"000300","2006-09-27","0.992200"
"000300","2006-09-28","1.158200"
"000300","2006-09-29","1.173000"
"000300","2006-10-09","2.337400"
"000300","2006-10-10","0.082200"
"000300","2006-10-11","-0.093200"
"000300","2006-10-12","-0.655300"
"000300","2006-10-13","0.307000"
"000300","2006-10-16","-0.863800"
"000300","2006-10-17","-0.286900"
"000300","2006-10-18","1.636000"
"000300","2006-10-19","0.124500"
"000300","2006-10-20","0.055600"
"000300","2006-10-23","-2.184400"
"000300","2006-10-24","2.224000"
"000300","2006-10-25","0.470800"
"000300","2006-10-26","0.640700"
"000300","2006-10-27","-1.170900"
"000300","2006-10-30","0.499600"
"000300","2006-10-31","1.260500"
"000300","2006-11-01","1.020200"
"000300","2006-11-02","0.016900"
"000300","2006-11-03","0.583200"
"000300","2006-11-06","1.316900"
"000300","2006-11-07","0.544500"
"000300","2006-11-08","-1.182600"
"000300","2006-11-09","1.771500"
"000300","2006-11-10","-1.354400"
"000300","2006-11-13","-1.880200"
"000300","2006-11-14","1.219700"
"000300","2006-11-15","2.743400"
"000300","2006-11-16","-0.095800"
"000300","2006-11-17","1.877700"
"000300","2006-11-20","1.989700"
"000300","2006-11-21","1.198200"
"000300","2006-11-22","0.730700"
"000300","2006-11-23","0.669900"
"000300","2006-11-24","0.102100"
"000300","2006-11-27","0.930000"
"000300","2006-11-28","-0.471600"
"000300","2006-11-29","1.406900"
"000300","2006-11-30","2.832400"
"000300","2006-12-01","0.866800"
"000300","2006-12-04","2.979400"
"000300","2006-12-05","0.757600"
"000300","2006-12-06","-0.826000"
"000300","2006-12-07","-0.207900"
"000300","2006-12-08","-3.611500"
"000300","2006-12-11","4.577100"
"000300","2006-12-12","0.719000"
"000300","2006-12-13","0.059400"
"000300","2006-12-14","1.789500"
"000300","2006-12-15","1.715600"
"000300","2006-12-18","2.595300"
"000300","2006-12-19","0.278200"
"000300","2006-12-20","0.786400"
"000300","2006-12-21","-1.423100"
"000300","2006-12-22","-0.699300"
"000300","2006-12-25","2.292600"
"000300","2006-12-26","-0.044400"
"000300","2006-12-27","2.303100"
"000300","2006-12-28","-0.148800"
"000300","2006-12-29","3.087000"
"000300","2007-01-04","1.275800"
"000300","2007-01-05","0.280100"
"000300","2007-01-08","2.830800"
"000300","2007-01-09","3.215000"
"000300","2007-01-10","2.539900"
"000300","2007-01-11","-1.078900"
"000300","2007-01-12","-2.593600"
"000300","2007-01-15","5.225500"
"000300","2007-01-16","2.908600"
"000300","2007-01-17","-1.909200"
"000300","2007-01-18","0.353800"
"000300","2007-01-19","3.409000"
"000300","2007-01-22","3.974000"
"000300","2007-01-23","0.675100"
"000300","2007-01-24","1.128300"
"000300","2007-01-25","-3.296000"
"000300","2007-01-26","2.449800"
"000300","2007-01-29","2.546800"
"000300","2007-01-30","-0.971700"
"000300","2007-01-31","-6.526200"
"000300","2007-02-01","0.412100"
"000300","2007-02-02","-4.056900"
"000300","2007-02-05","-1.140100"
"000300","2007-02-06","1.947400"
"000300","2007-02-07","2.320800"
"000300","2007-02-08","1.722100"
"000300","2007-02-09","-0.553800"
"000300","2007-02-12","3.676700"
"000300","2007-02-13","1.498400"
"000300","2007-02-14","2.605200"
"000300","2007-02-15","3.101600"
"000300","2007-02-16","0.303900"
"000300","2007-02-26","1.155900"
"000300","2007-02-27","-9.240000"
"000300","2007-02-28","3.543500"
"000300","2007-03-01","-2.791400"
"000300","2007-03-02","1.422700"
"000300","2007-03-05","-1.320200"
"000300","2007-03-06","1.804800"
"000300","2007-03-07","2.743700"
"000300","2007-03-08","1.474800"
"000300","2007-03-09","-0.618000"
"000300","2007-03-12","0.183000"
"000300","2007-03-13","0.917400"
"000300","2007-03-14","-1.621500"
"000300","2007-03-15","1.855300"
"000300","2007-03-16","-1.561900"
"000300","2007-03-19","2.118900"
"000300","2007-03-20","0.502400"
"000300","2007-03-21","1.116100"
"000300","2007-03-22","0.322700"
"000300","2007-03-23","0.182600"
"000300","2007-03-26","1.758300"
"000300","2007-03-27","0.723200"
"000300","2007-03-28","0.489600"
"000300","2007-03-29","-0.512600"
"000300","2007-03-30","-0.055000"
"000300","2007-04-02","2.456300"
"000300","2007-04-03","1.333600"
"000300","2007-04-04","0.820600"
"000300","2007-04-05","1.141200"
"000300","2007-04-06","0.915400"
"000300","2007-04-09","2.226100"
"000300","2007-04-10","1.428500"
"000300","2007-04-11","1.289900"
"000300","2007-04-12","1.765900"
"000300","2007-04-13","-0.227000"
"000300","2007-04-16","2.737900"
"000300","2007-04-17","0.847700"
"000300","2007-04-18","0.636500"
"000300","2007-04-19","-4.666400"
"000300","2007-04-20","4.411600"
"000300","2007-04-23","4.318300"
"000300","2007-04-24","0.404500"
"000300","2007-04-25","0.089400"
"000300","2007-04-26","1.313700"
"000300","2007-04-27","-0.660100"
"000300","2007-04-30","2.541100"
"000300","2007-05-08","3.577700"
"000300","2007-05-09","0.413700"
"000300","2007-05-10","0.627600"
"000300","2007-05-11","-0.588000"
"000300","2007-05-14","0.859100"
"000300","2007-05-15","-3.475200"
"000300","2007-05-16","2.653500"
"000300","2007-05-17","2.116600"
"000300","2007-05-18","-0.052400"
"000300","2007-05-21","1.451300"
"000300","2007-05-22","1.019200"
"000300","2007-05-23","1.768800"
"000300","2007-05-24","-0.487400"
"000300","2007-05-25","1.671000"
"000300","2007-05-28","2.191300"
"000300","2007-05-29","2.350100"
"000300","2007-05-30","-6.761300"
"000300","2007-05-31","1.067600"
"000300","2007-06-01","-3.156900"
"000300","2007-06-04","-7.689900"
"000300","2007-06-05","3.508500"
"000300","2007-06-06","1.181700"
"000300","2007-06-07","3.391400"
"000300","2007-06-08","0.935500"
"000300","2007-06-11","2.449000"
"000300","2007-06-12","2.651400"
"000300","2007-06-13","2.035600"
"000300","2007-06-14","-1.030800"
"000300","2007-06-15","0.578000"
"000300","2007-06-18","3.127100"
"000300","2007-06-19","0.601500"
"000300","2007-06-20","-2.243100"
"000300","2007-06-21","0.954400"
"000300","2007-06-22","-3.474900"
"000300","2007-06-25","-4.290800"
"000300","2007-06-26","1.305500"
"000300","2007-06-27","2.858000"
"000300","2007-06-28","-4.503400"
"000300","2007-06-29","-2.447600"
"000300","2007-07-02","-0.170600"
"000300","2007-07-03","1.984500"
"000300","2007-07-04","-2.313300"
"000300","2007-07-05","-5.506500"
"000300","2007-07-06","4.886000"
"000300","2007-07-09","2.992200"
"000300","2007-07-10","-1.195400"
"000300","2007-07-11","0.377400"
"000300","2007-07-12","0.713700"
"000300","2007-07-13","0.083800"
"000300","2007-07-16","-3.197500"
"000300","2007-07-17","2.479200"
"000300","2007-07-18","0.472900"
"000300","2007-07-19","-0.015000"
"000300","2007-07-20","4.331000"
"000300","2007-07-23","4.653700"
"000300","2007-07-24","0.111400"
"000300","2007-07-25","2.261500"
"000300","2007-07-26","1.121600"
"000300","2007-07-27","0.091800"
"000300","2007-07-30","2.395100"
"000300","2007-07-31","1.139600"
"000300","2007-08-01","-3.813000"
"000300","2007-08-02","3.396100"
"000300","2007-08-03","3.656100"
"000300","2007-08-06","2.296500"
"000300","2007-08-07","0.437300"
"000300","2007-08-08","-1.195000"
"000300","2007-08-09","2.339300"
"000300","2007-08-10","-1.059400"
"000300","2007-08-13","-0.116100"
"000300","2007-08-14","1.575500"
"000300","2007-08-15","0.066300"
"000300","2007-08-16","-1.600600"
"000300","2007-08-17","-2.019500"
"000300","2007-08-20","5.594800"
"000300","2007-08-21","1.786500"
"000300","2007-08-22","1.588300"
"000300","2007-08-23","1.667600"
"000300","2007-08-24","1.589800"
"000300","2007-08-27","0.490100"
"000300","2007-08-28","0.164400"
"000300","2007-08-29","-1.522300"
"000300","2007-08-30","1.342100"
"000300","2007-08-31","1.060400"
"000300","2007-09-03","2.310100"
"000300","2007-09-04","-1.085800"
"000300","2007-09-05","0.054500"
"000300","2007-09-06","0.909700"
"000300","2007-09-07","-2.166300"
"000300","2007-09-10","1.556600"
"000300","2007-09-11","-4.707500"
"000300","2007-09-12","1.537200"
"000300","2007-09-13","2.827500"
"000300","2007-09-14","0.884300"
"000300","2007-09-17","1.883000"
"000300","2007-09-18","-0.401400"
"000300","2007-09-19","-1.051200"
"000300","2007-09-20","1.395900"
"000300","2007-09-21","-0.488100"
"000300","2007-09-24","0.837600"
"000300","2007-09-25","-1.075100"
"000300","2007-09-26","-1.716000"
"000300","2007-09-27","1.243000"
"000300","2007-09-28","2.821700"
"000300","2007-10-08","1.296000"
"000300","2007-10-09","0.403100"
"000300","2007-10-10","0.173200"
"000300","2007-10-11","1.307100"
"000300","2007-10-12","-0.396900"
"000300","2007-10-15","1.468100"
"000300","2007-10-16","0.957700"
"000300","2007-10-17","-0.903200"
"000300","2007-10-18","-3.577700"
"000300","2007-10-19","-0.030100"
"000300","2007-10-22","-2.518300"
"000300","2007-10-23","1.231800"
"000300","2007-10-24","0.865000"
"000300","2007-10-25","-4.549400"
"000300","2007-10-26","1.144000"
"000300","2007-10-29","2.104800"
"000300","2007-10-30","1.592300"
"000300","2007-10-31","1.652400"
"000300","2007-11-01","-1.464500"
"000300","2007-11-02","-2.360300"
"000300","2007-11-05","-2.057800"
"000300","2007-11-06","-0.797700"
"000300","2007-11-07","0.622100"
"000300","2007-11-08","-4.802400"
"000300","2007-11-09","-1.043300"
"000300","2007-11-12","-1.235600"
"000300","2007-11-13","-0.783600"
"000300","2007-11-14","4.183800"
"000300","2007-11-15","-1.258900"
"000300","2007-11-16","-1.445600"
"000300","2007-11-19","-0.264400"
"000300","2007-11-20","1.500900"
"000300","2007-11-21","-1.415600"
"000300","2007-11-22","-4.502100"
"000300","2007-11-23","1.750400"
"000300","2007-11-26","-1.154800"
"000300","2007-11-27","-1.852700"
"000300","2007-11-28","-1.324500"
"000300","2007-11-29","4.158500"
"000300","2007-11-30","-2.161500"
"000300","2007-12-03","0.744300"
"000300","2007-12-04","1.184700"
"000300","2007-12-05","2.831500"
"000300","2007-12-06","0.102900"
"000300","2007-12-07","1.414000"
"000300","2007-12-10","1.829100"
"000300","2007-12-11","0.125400"
"000300","2007-12-12","-1.218100"
"000300","2007-12-13","-3.802900"
"000300","2007-12-14","1.911200"
"000300","2007-12-17","-2.418000"
"000300","2007-12-18","-0.563700"
"000300","2007-12-19","2.409600"
"000300","2007-12-20","1.837900"
"000300","2007-12-21","1.283500"
"000300","2007-12-24","2.063600"
"000300","2007-12-25","0.185900"
"000300","2007-12-26","0.924300"
"000300","2007-12-27","1.946800"
"000300","2007-12-28","-0.544900"
"000300","2008-01-02","0.877100"
"000300","2008-01-03","0.685800"
"000300","2008-01-04","1.136500"
"000300","2008-01-07","1.330100"
"000300","2008-01-08","-0.513600"
"000300","2008-01-09","1.550500"
"000300","2008-01-10","1.040100"
"000300","2008-01-11","0.476000"
"000300","2008-01-14","0.572200"
"000300","2008-01-15","-0.616000"
"000300","2008-01-16","-3.348200"
"000300","2008-01-17","-2.544600"
"000300","2008-01-18","0.910400"
"000300","2008-01-21","-4.963400"
"000300","2008-01-22","-7.615200"
"000300","2008-01-23","4.653900"
"000300","2008-01-24","1.047200"
"000300","2008-01-25","0.999000"
"000300","2008-01-28","-6.805600"
"000300","2008-01-29","0.638200"
"000300","2008-01-30","-1.080000"
"000300","2008-01-31","-1.915900"
"000300","2008-02-01","-1.048600"
"000300","2008-02-04","8.271500"
"000300","2008-02-05","-0.571500"
"000300","2008-02-13","-2.148600"
"000300","2008-02-14","1.332400"
"000300","2008-02-15","-1.371700"
"000300","2008-02-18","2.029400"
"000300","2008-02-19","2.235000"
"000300","2008-02-20","-2.231300"
"000300","2008-02-21","-0.666000"
"000300","2008-02-22","-3.564200"
"000300","2008-02-25","-3.880300"
"000300","2008-02-26","-0.094000"
"000300","2008-02-27","2.751400"
"000300","2008-02-28","-0.381700"
"000300","2008-02-29","1.135600"
"000300","2008-03-03","2.485600"
"000300","2008-03-04","-2.496300"
"000300","2008-03-05","-0.908300"
"000300","2008-03-06","1.216500"
"000300","2008-03-07","-1.352000"
"000300","2008-03-10","-4.113200"
"000300","2008-03-11","0.216400"
"000300","2008-03-12","-2.961600"
"000300","2008-03-13","-2.568400"
"000300","2008-03-14","-0.978600"
"000300","2008-03-17","-4.631900"
"000300","2008-03-18","-5.077300"
"000300","2008-03-19","3.318600"
"000300","2008-03-20","2.905000"
"000300","2008-03-21","0.899600"
"000300","2008-03-24","-4.476200"
"000300","2008-03-25","1.262100"
"000300","2008-03-26","0.220200"
"000300","2008-03-27","-4.226700"
"000300","2008-03-28","4.514400"
"000300","2008-03-31","-3.257400"
"000300","2008-04-01","-5.478700"
"000300","2008-04-02","-0.973500"
"000300","2008-04-03","2.895200"
"000300","2008-04-07","5.344700"
"000300","2008-04-08","1.176300"
"000300","2008-04-09","-5.215300"
"000300","2008-04-10","1.805500"
"000300","2008-04-11","0.772600"
"000300","2008-04-14","-6.538500"
"000300","2008-04-15","1.328200"
"000300","2008-04-16","-2.491600"
"000300","2008-04-17","-3.073500"
"000300","2008-04-18","-3.370000"
"000300","2008-04-21","-0.151300"
"000300","2008-04-22","0.879300"
"000300","2008-04-23","4.776600"
"000300","2008-04-24","9.287600"
"000300","2008-04-25","0.756900"
"000300","2008-04-28","-1.943700"
"000300","2008-04-29","1.281500"
"000300","2008-04-30","4.823500"
"000300","2008-05-05","2.441500"
"000300","2008-05-06","-1.106800"
"000300","2008-05-07","-4.726400"
"000300","2008-05-08","2.714200"
"000300","2008-05-09","-1.175000"
"000300","2008-05-12","0.670300"
"000300","2008-05-13","-1.363200"
"000300","2008-05-14","3.221700"
"000300","2008-05-15","-0.696500"
"000300","2008-05-16","-0.303200"
"000300","2008-05-19","-0.560200"
"000300","2008-05-20","-5.192800"
"000300","2008-05-21","1.946500"
"000300","2008-05-22","-1.892900"
"000300","2008-05-23","-0.977800"
"000300","2008-05-26","-3.154400"
"000300","2008-05-27","0.477100"
"000300","2008-05-28","2.797100"
"000300","2008-05-29","-2.594000"
"000300","2008-05-30","0.850600"
"000300","2008-06-02","0.401500"
"000300","2008-06-03","-0.323200"
"000300","2008-06-04","-1.859100"
"000300","2008-06-05","-0.980600"
"000300","2008-06-06","-0.644600"
"000300","2008-06-10","-8.108300"
"000300","2008-06-11","-2.066400"
"000300","2008-06-12","-1.772800"
"000300","2008-06-13","-3.420500"
"000300","2008-06-16","-0.902300"
"000300","2008-06-17","-3.711100"
"000300","2008-06-18","5.227100"
"000300","2008-06-19","-7.294200"
"000300","2008-06-20","2.761900"
"000300","2008-06-23","-2.096000"
"000300","2008-06-24","2.221600"
"000300","2008-06-25","4.124200"
"000300","2008-06-26","0.382900"
"000300","2008-06-27","-5.531500"
"000300","2008-06-30","-0.859400"
"000300","2008-07-01","-3.348000"
"000300","2008-07-02","0.046300"
"000300","2008-07-03","2.260000"
"000300","2008-07-04","-0.679600"
"000300","2008-07-07","5.139200"
"000300","2008-07-08","0.661900"
"000300","2008-07-09","3.904100"
"000300","2008-07-10","-1.373100"
"000300","2008-07-11","-0.680300"
"000300","2008-07-14","0.757400"
"000300","2008-07-15","-4.129500"
"000300","2008-07-16","-3.763800"
"000300","2008-07-17","-1.002700"
"000300","2008-07-18","3.583100"
"000300","2008-07-21","3.395200"
"000300","2008-07-22","-0.216800"
"000300","2008-07-23","-0.737400"
"000300","2008-07-24","3.261500"
"000300","2008-07-25","-1.281700"
"000300","2008-07-28","0.736600"
"000300","2008-07-29","-1.865000"
"000300","2008-07-30","-0.731300"
"000300","2008-07-31","-2.744800"
"000300","2008-08-01","1.268400"
